,apt,street,city,state,zipcode,hotrent,amenities,popularity,hottele,hoturl,soundscore,aptrent,apttele,apturl,Population,Density,TotalWages,Wealthy,HouseOfUnits
2876,Studio Arnaz, 320 S Arnaz Drive, Los Angeles, CA,90048,1892, 24 Hour Maintenance; Air Conditioning; Cats Allowed; Ceiling Fan; Dishwasher; Dry Cleaning Drop Off; Elevator; Fireplace; Flexible Lease; Flooring: Vinyl; Freezer; Garage; Garbage Disposal; Laundry: Shared; Microwave Oven; On-Site Management; One Year Lease; Online Maintenance Portal; Online Rent Payment; Oven; Patio Balcony; Range; Refrigerator; Security: Controlled Access; Security: Gated Entry; Security: Intercom; Small Dogs Allowed; Spanish Speaking Staff; Underground Garage; View Type: City,High, 1-310-341-2658, https://hotpads.com/studio-arnaz-los-angeles-ca-90048-1pg1xs0/pad,69, $1892, 844-778-4964, https://www.apartments.com/studio-arnaz-los-angeles-ca/tp44e6c/,21397.0,11321.1640212,753464171.0,35213.5425994,12939.0
2877,3268 Butler Avenue, 3268 Butler Avenue, Los Angeles, CA,90066, Call, ,Medium, 310-837-8555, https://hotpads.com/3268-butler-ave-los-angeles-ca-90066-1m2sgvu/pad,,,,,55277.0,11235.1626016,1310888864.0,23714.9060911,25319.0
2878,3228 S Carolina Street, 3228 S Carolina Street, San Pedro, CA,90731, Call, Cats Allowed; Dryer; Garage; Laundry: In Unit; No Utilities included in rent; Patio Balcony; Small Dogs Allowed; Washer,Medium, 310-863-0657, https://hotpads.com/3228-s-carolina-st-san-pedro-ca-90731-1n24bh4/pad,76, $2350, 213-805-5356, https://www.apartments.com/3228-s-carolina-st-los-angeles-ca/fqtnzss/,59662.0,6492.05658324,940784609.0,15768.5731119,23914.0
2879,14915 Roscoe Boulevard, 14915 Roscoe Boulevard, Panorama City, CA,91402,1950, ,High, hotpads, https://hotpads.com/14915-roscoe-blvd-panorama-city-ca-91402-1m3tysw/pad,,,,,69817.0,18717.69437,676184645.0,9685.10026211,19179.0
2880,2419 Solar Drive, 2419 Solar Drive, Los Angeles, CA,90046, Call, Architecture Style: Modern; Cable TV Ready; Covered Parking Spaces: 3; Dryer; Flooring: Hardwood; Flooring: Tile; Furnished; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 17277614; Microwave Oven; Refrigerator; Swimming Pool; View Type: City View; Washer; Year Built: 1958; Concierge,Low, 310-928-0938, https://hotpads.com/2419-solar-dr-los-angeles-ca-90046-1m2qqng/pad,,,,,48581.0,8405.01730104,1384367441.0,28496.0672073,30688.0
2881,22436 N Summit Ridge Circle, 22436 N Summit Ridge Circle, Chatsworth, CA,91311, Call, Architecture Style: Contemporary; Covered Parking Spaces: 3; Fireplace; Fitness Center; Flooring: Marble; Flooring: Terrazzo; Flooring: Tile; Garbage Disposal; Heating system: Zoned; MLS Listing ID: 18319164; Microwave Oven; Refrigerator; Sauna; Security: Controlled Access; Security: Gated Entry; Washer; Year Built: 2007; Attic; Basement,Low, 323-646-8866, https://hotpads.com/22436-n-summit-ridge-cir-chatsworth-ca-91311-tzub7f/pad,,,,,36557.0,1139.55735661,900828883.0,24641.7617146,14021.0
2882,1166 W 28th Street, 1166 W 28th Street, Los Angeles, CA,90007, Call, Air Conditioning; Dryer; Laundry: In Unit; Microwave Oven; Washer; gated parking on premises; monthly maid services; private front yard; stainless steel refridgerator; stainless steel stove; weekly gardening services,Low, 213-748-8331, https://hotpads.com/1166-w-28th-st-los-angeles-ca-90007-1n1tvsf/pad,,,,,40920.0,16566.8016194,262370773.0,6411.79797165,12762.0
2883,19710 Vintage Street, 19710 Vintage Street, Chatsworth, CA,91311, Call, Condo Floor Number: 1; Covered Parking Spaces: 1; Fireplace; Heating system: Central Furnace; MLS Listing ID: SR18030663; School District: Los Angeles Unified; View Type: See Remarks; Year Built: 1969; Range/Oven,Medium, 818-371-7117, https://hotpads.com/19710-vintage-st-chatsworth-ca-91311-1m3hqr3/pad,,,,,36557.0,1139.55735661,900828883.0,24641.7617146,14021.0
2884,1823 N Van Ness Avenue, 1823 N Van Ness Avenue, Los Angeles, CA,90028,4495, Dogs Allowed; Large Dogs Allowed; Small Dogs Allowed,Medium, 310-400-6148, https://hotpads.com/3-bed-35-bath-1850-sqft-4495-los-angeles-ca-90028-1tz6y8b/pad,,,,,28714.0,18890.7894737,379215740.0,13206.6497179,17126.0
2885,641 W 12th Street, 641 W 12th Street, San Pedro, CA,90731, Call, Cats Allowed; Dryer; Garage; Laundry: In Unit; Off Street Parking; Small Dogs Allowed; Washer,Low, 714-623-7392, https://hotpads.com/641-w-12th-st-san-pedro-ca-90731-1prp8n1/pad,,,,,59662.0,6492.05658324,940784609.0,15768.5731119,23914.0
2886,3437 N Mission Road, 3437 N Mission Road, Los Angeles, CA,90031,1475, Air Conditioning; Cats Allowed; Flooring: Hardwood; Off Street Parking; Parking Lot; Patio Balcony; Range; Refrigerator; Small Dogs Allowed,High, 818-861-0568, https://hotpads.com/3437-n-mission-rd-los-angeles-ca-90031-1u0s7w5/pad,,,,,39316.0,11395.942029,396598065.0,10087.4469682,11903.0
2887,4320 Van Nuys Boulevard, 4320 Van Nuys Boulevard, Sherman Oaks, CA,91403,1895, Barbecue; Cats Allowed; Ceiling Fan; Close to the 101 and 405 Freeways; Dishwasher; Elevator; Fireplace; Flooring: Wood; Garbage Disposal; Granite Counter Tops; Laundry: Shared; Microwave Oven; Mirrored Closet Doors; Newer Appliances; Off Street Parking; On-Site Maintenance; Patio Balcony; Pictures may not be of exact apartment home; Range; Security: Gated Entry; Spa; Spectacular Views*; Storage Space; Swimming Pool,Medium, 818-322-4967, https://hotpads.com/south-park-apartments-sherman-oaks-ca-91403-sm8u6v/pad,,,,,23484.0,6469.4214876,1035052432.0,44074.7927099,12051.0
2888,S Mariposa Avenue, S Mariposa Avenue, Los Angeles, CA,90004, Call, Parking Spaces: 1,Medium, 310-933-4191, https://hotpads.com/228-s-mariposa-ave-los-angeles-ca-90004-spe55z/pad,,,,,62180.0,20386.8852459,891085777.0,14330.7458508,24278.0
2889,12108 Greene Avenue, 12108 Greene Avenue, Los Angeles, CA,90066, Call, Covered Parking Spaces: 2; Flooring: Carpet; Furnished; Garbage Disposal; Heating system: Wall; MLS Listing ID: 18316626; No Air Conditioning; Year Built: 1949,Low, 310-873-4100, https://hotpads.com/12108-greene-ave-los-angeles-ca-90066-1tyjcmy/pad,,,,,55277.0,11235.1626016,1310888864.0,23714.9060911,25319.0
2890,Revere Avenue, Revere Avenue, Los Angeles, CA,90039, Call, Air Conditioning; Cats Allowed; Dryer; Flooring: Hardwood; Laundry: In Unit; Off Street Parking; Patio Balcony; Small Dogs Allowed; Washer,High, 818-823-0023, https://hotpads.com/3928-revere-ave-los-angeles-ca-90039-1m2pe8d/pad,,,,,28514.0,7563.39522546,645960187.0,22654.1413692,12127.0
2891,Summer View Apartments, 15353 Weddington Street, Sherman Oaks, CA,91411,1670, Air Conditioning; Assigned Covered Parking; BBQ/Picnic Area; Basketball Court; Cable TV Ready; Carpeting; Cats Allowed; Disability Access; Elevator; Fitness Center; Flooring: Hardwood; Fully Equipped Kitchens; Gated Community; Large Dogs Allowed; Large Hallway Closets; Laundry: Shared; Mirrored Closet Doors; On-Site Maintenance; Pantry; Parking Lot; Pet Park; Pet Waste Stations; Private Outdoor Space; Public Parks Nearby; Small Dogs Allowed; Stories: 3; Swimming Pool; Tennis Court; Transportation; Vanity Outside Bathroom,High, 1-818-650-4914, https://hotpads.com/summer-view-apartments-van-nuys-ca-91411-thvh5w/pad,65, $1670 - 1820, 424-610-4602, https://www.apartments.com/summer-view-apartments-sherman-oaks-ca/9k6p5r4/,24628.0,12072.5490196,336333290.0,13656.540929,9788.0
2892,4214 Creed Avenue, 4214 Creed Avenue, Los Angeles, CA,90008, Call, Architecture Style: Contemporary; Flooring: Hardwood; Furnished; Heating system: Wall; MLS Listing ID: 17295278; No Air Conditioning; Refrigerator; Year Built: 1949,Medium, 310-337-7288, https://hotpads.com/4214-creed-ave-los-angeles-ca-90008-1m2j5ju/pad,,,,,32327.0,8808.44686649,426689767.0,13199.1761376,15006.0
2893,4537 Russell Avenue, 4537 Russell Avenue, Los Angeles, CA,90027, Call, Carport; Cats Allowed; Flooring: Hardwood; Laundry: Shared; Off Street Parking; Parking Spaces: 2; Refrigerator; Small Dogs Allowed; Washer; Yard; Granite countertop; Range/Oven; Wired,High, 213-454-6422, https://hotpads.com/4537-russell-ave-los-angeles-ca-90027-1m2mq6u/pad,-, $3995, 424-331-1596, https://www.apartments.com/4537-russell-ave-los-angeles-ca/w53p0qk/,45151.0,5466.22276029,982450409.0,21759.2170495,23390.0
2894,1539 S Sierra Bonita Avenue, 1539 S Sierra Bonita Avenue, Los Angeles, CA,90019, Call, Architecture Style: Spanish; Cats Allowed; MLS Listing ID: 18-320656; Year Built: 1931,Medium, 323-610-1781, https://hotpads.com/1539-s-sierra-bonita-ave-los-angeles-ca-90019-tyz092/pad,,,,,64458.0,16570.1799486,871676252.0,13523.1662788,25116.0
2895,Gayley & Lindbrook, 1122 Gayley Avenue, Los Angeles, CA,90024,4495, Barbecue; Cats Allowed; Club House; Custom Counter Tops And Cabinets; Custom Doors And Windows; Dishwasher; Dryer; Flooring: Wood; High Ceilings; High-speed Internet Ready; Large Dogs Allowed; Laundry: In Unit; Microwave Oven; Parking Lot; Patio Balcony; Pictures may not be of exact apartment home; Range; Recessed Lighting; Refrigerator; Security: Gated Entry; Small Dogs Allowed; Stainless Steel Appliances; Swimming Pool; Washer,Medium, 1-424-324-3207, https://hotpads.com/gayley-lindbrook-los-angeles-ca-90024-w3u36v/pad,65, $4495 - 4500, 844-468-3462, https://www.apartments.com/gayley-lindbrook-los-angeles-ca/g26mwez/,47452.0,16140.1360544,1258492976.0,26521.3895305,19932.0
2896,5180 1/2 Village Green, 5180 1/2 Village Green, Los Angeles, CA,90016, Call, Cats Allowed; Flooring: Hardwood; Garage; Laundry: Shared; Off Street Parking; Small Dogs Allowed,Medium, 213-239-4038, https://hotpads.com/5180-12-village-grn-los-angeles-ca-90016-1pyau5t/pad,,,,,47596.0,13111.84573,570516671.0,11986.6516304,17204.0
2897,1239 Las Pulgas Road, 1239 Las Pulgas Road, Pacific Palisades, CA,90272, Call, Architecture Style: Contemporary; Attached Garage; Covered Parking Spaces: 2; Fireplace; Flooring: Hardwood; Furnished; Heating system: Central; MLS Listing ID: 18304044; Swimming Pool; Year Built: 1959,Low, 310-367-3372, https://hotpads.com/1239-las-pulgas-rd-pacific-palisades-ca-90272-spe27q/pad,,,,,22986.0,1006.83311432,1750979831.0,76175.9258244,9815.0
2898,9400 Lloydcrest Drive, 9400 Lloydcrest Drive, Beverly Hills, CA,90210, Call, Architecture Style: Contemporary; Attached Garage; Cable TV Ready; Covered Parking Spaces: 2; Deck; Disabled Access; Dryer; Exterior Type: Stucco; Fireplace; Flooring: Hardwood; Freezer; Furnished; Garbage Disposal; Gas Cooling; Heating system: Central; Heating: Gas; Jetted Bathtub; Laundry: In Unit; MLS Listing ID: 18318462; Patio Balcony; Refrigerator; Roof Type: Composition; Spa; View Type: City View; Washer; Year Built: 1959; Skylight; Wetbar; Wired,Low, 310-724-7100, https://hotpads.com/9400-lloydcrest-dr-beverly-hills-ca-90210-u2un0m/pad,82, $12500, 323-618-1692, https://www.apartments.com/9400-lloydcrest-dr-beverly-hills-ca/z3ln85z/,21741.0,2146.1994077,1586883528.0,72990.3651166,9563.0
2899,6149 Rockcliff Drive, 6149 Rockcliff Drive, Los Angeles, CA,90068, Call, Attached Garage; Covered Parking Spaces: 4; Fireplace; Flooring: Other; Heating system: Forced Air; MLS Listing ID: 18312184; View Type: City View; View Type: Territorial View; Year Built: 2000,Low, 424-230-7206, https://hotpads.com/6149-rockcliff-dr-los-angeles-ca-90068-1m2sxwv/pad,,,,,22286.0,2924.67191601,763067439.0,34239.7666248,13901.0
2900,Hazeltine Avenue, Hazeltine Avenue, Van Nuys, CA,91405, Call, Air Conditioning; Laundry: none; Off Street Parking,Low, 818-570-3855, https://hotpads.com/6950-hazeltine-ave-van-nuys-ca-91405-smp57q/pad,,,,,51145.0,15451.6616314,545861221.0,10672.8169127,17442.0
2901,1847 W Florence Avenue, 1847 W Florence Avenue, Los Angeles, CA,90047,2350, ,Low, hotpads, https://hotpads.com/1847-w-florence-ave-los-angeles-ca-90047-tvpg24/pad,,,,,48606.0,10276.1099366,600392169.0,12352.2233675,17150.0
2902,2268 W 14th Street, 2268 W 14th Street, Los Angeles, CA,90006,1100, Laundry: Shared,High, 323-654-8560, https://hotpads.com/studio-1100-los-angeles-ca-90006-1n1tt8p/pad,,,,,59185.0,30825.5208333,398768368.0,6737.65933936,20332.0
2903,23816 Posey Lane, 23816 Posey Lane, West Hills, CA,91304, Call, Air Conditioning; Dryer; Laundry: In Unit; Off Street Parking; Patio Balcony; Washer,Low, 818-201-4504, https://hotpads.com/23816-posey-ln-canoga-park-ca-91304-1m3guqs/pad,,,,,50231.0,5338.04463337,894798302.0,17813.6668989,17456.0
2904,16004 Cantlay Street, 16004 Cantlay Street, Van Nuys, CA,91406,1395, ,Medium, hotpads, https://hotpads.com/16004-cantlay-st-van-nuys-ca-91406-ttynw3/pad,,,,,51558.0,6341.69741697,769046964.0,14916.1519842,18034.0
2905,Kiowa Avenue, Kiowa Avenue, Brentwood, CA,90049,4950, ,Medium, hotpads, https://hotpads.com/11846-kiowa-ave-los-angeles-ca-90049-1m2r4nv/pad,,,,,35482.0,2362.31691079,2124002456.0,59861.4073615,18097.0
2906,3761 Aguilar Street, 3761 Aguilar Street, Los Angeles, CA,90065, Call, Air Conditioning; Cats Allowed; Dogs Allowed; Dryer; Flooring: Hardwood; Large Dogs Allowed; Laundry: In Unit; Off Street Parking; Patio Balcony; Small Dogs Allowed; Utilities fee required; Washer,Medium, 310-980-7216, https://hotpads.com/3761-aguilar-st-los-angeles-ca-90065-w3te4t/pad,,,,,45527.0,8622.53787879,749994392.0,16473.6176774,15288.0
2907,525 S Westgate Avenue, 525 S Westgate Avenue, Los Angeles, CA,90049, Call, Covered Parking Spaces: 2; Fireplace; Flooring: Hardwood; Flooring: Stone; Furnished; Garbage Disposal; Heating system: Central; MLS Listing ID: 18298848; Microwave Oven; Patio Balcony; Refrigerator; Swimming Pool; Tennis Court; Washer; Year Built: 1943,Low, 424-202-3288, https://hotpads.com/525-s-westgate-ave-los-angeles-ca-90049-1n1z462/pad,,,,,35482.0,2362.31691079,2124002456.0,59861.4073615,18097.0
2908,12105 Pacific, 12105 Pacific Avenue, Los Angeles, CA,90066,2300, Administrative Fee: 25; Building Deposit Fee Minimum: 150; Cable TV Ready; Ceiling Fan; Dishwasher; Flooring: Carpet; Flooring: Laminate; Flooring: Linoleum; Garbage included in rent; Heating: Electric; Laundry: Shared; Microwave Oven; One Year Lease; Patio Balcony; Range; Refrigerator; Water included in rent,High, hotpads, https://hotpads.com/12105-pacific-los-angeles-ca-90066-1m2sbye/pad,,,,,55277.0,11235.1626016,1310888864.0,23714.9060911,25319.0
2909,The Ritz, 10947 Bloomfield Street, North Hollywood, CA,91602,1595, Beautiful Courtyard; Cable TV Ready; Custom Crafted Oak Cabinetry; Dishwashers; Elevator; Fireplace; Fitness Center; Flooring: Carpet; Garbage Disposal; Heating: Other; Intrusion Alarm; Laundry: Shared; Microwaves; Mirrored Wardrobe Closet; New Appliances; Off Street Parking; On-Site Maintenance; On-Site Management; Oversized Pantry; Patio Balcony; Professionally Landscaped Grounds; Refrigerator; Security: Gated Entry; Spa; Storage Available; Stories: 4; Swimming Pool; Vertical Blinds; Walk In Closet; Year Built: 1988; Year Remodeled: 2017,High, 1-818-273-1998, https://hotpads.com/the-ritz-north-hollywood-ca-91602-sqfu5f/pad,,,,,17473.0,8523.41463415,555014995.0,31764.1501173,9946.0
2910,2153 W Washington Boulevard, 2153 W Washington Boulevard, Los Angeles, CA,90018, Call, Cats Allowed; Flooring: Hardwood; Garbage included in rent; Large Dogs Allowed; Laundry: Shared; Off Street Parking; Small Dogs Allowed; Water included in rent,Medium, 310-801-4023, https://hotpads.com/2153-w-washington-blvd-los-angeles-ca-90018-1n1v5xh/pad,65, $1995, 844-788-0856, https://www.apartments.com/2153-w-washington-blvd-los-angeles-ca/cstfbnf/,49310.0,17003.4482759,480700270.0,9748.53518556,16658.0
2911,7347 Pyramid Place, 7347 Pyramid Place, Los Angeles, CA,90046, Call, Fireplace; MLS Listing ID: 18-306194; Year Built: 1962,Low, 323-793-7405, https://hotpads.com/7347-pyramid-pl-los-angeles-ca-90046-1m2qsn7/pad,,,,,48581.0,8405.01730104,1384367441.0,28496.0672073,30688.0
2912,Avenida Hacienda, Avenida Hacienda, Tarzana, CA,91356, Call, Air Conditioning; Dryer; Flooring: Hardwood; Laundry: In Unit; Laundry: Shared; Patio Balcony; Spa; Swimming Pool; Utilities fee required; Washer,High, 818-570-1482, https://hotpads.com/5212-avenida-hacienda-tarzana-ca-91356-sn7mfm/pad,,,,,29458.0,4018.82673943,820382070.0,27849.2114196,12454.0
2913,4215 Abner Street, 4215 Abner Street, Los Angeles, CA,90032, Call, Air Conditioning; Cats Allowed; Dryer; Electricity not included in rent; Flooring: Hardwood; Garbage not included in rent; Gas not included in rent; Large Dogs Allowed; Laundry: In Unit; Off Street Parking; Sewage included in rent; Small Dogs Allowed; Washer; Water included in rent,High, 213-222-8095, https://hotpads.com/4215-abner-st-los-angeles-ca-90032-1m2nbsz/pad,,,,,45786.0,9598.74213836,554013323.0,12100.0594723,13521.0
2914,131 N Citrus Avenue, 131 N Citrus Avenue, Los Angeles, CA,90036, Call, Architecture Style: Spanish; Fireplace; MLS Listing ID: 18-303634; Year Built: 1926,Low, 310-351-3995, https://hotpads.com/131-n-citrus-ave-los-angeles-ca-90036-skvsg3/pad,,,,,36865.0,14925.1012146,1069043429.0,28998.872345,19920.0
2915,3271 Rowena Avenue, 3271 Rowena Avenue, Los Angeles, CA,90027, Call, Dryer; Fireplace; Flooring: Hardwood; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18316958; Patio Balcony; Refrigerator; Swimming Pool; Washer; Year Built: 1934; Basement,Medium, 323-470-4635, https://hotpads.com/3271-rowena-ave-los-angeles-ca-90027-u0mz0e/pad,,,,,45151.0,5466.22276029,982450409.0,21759.2170495,23390.0
2916,123 S Lake Street, 123 S Lake Street, Los Angeles, CA,90057, Call, Flooring: Hardwood; Laundry: Shared; Off Street Parking,High, hotpads, https://hotpads.com/123-s-lake-st-los-angeles-ca-90057-1n1z6xu/pad,,,,,44998.0,50559.5505618,278373802.0,6186.3594382,17247.0
2917,217 W 12th Street, 217 W 12th Street, San Pedro, CA,90731, Call, Cats Allowed; Flooring: Hardwood; Flooring: Tile; Laundry: Shared; Small Dogs Allowed; Utilities included in rent; Granite countertop; Range/Oven,High, 310-832-6189, https://hotpads.com/217-w-12th-st-san-pedro-ca-90731-1n249cs/pad,,,,,59662.0,6492.05658324,940784609.0,15768.5731119,23914.0
2918,111 S Harper Avenue, 111 S Harper Avenue, Los Angeles, CA,90048, Call, Architecture Style: Cape Cod; Dryer; Flooring: Hardwood; Heating system: Central; Laundry: In Unit; MLS Listing ID: 17294956; Refrigerator; Washer; Year Built: 1936,Low, 310-614-4952, https://hotpads.com/111-s-harper-ave-los-angeles-ca-90048-1n1ywuc/pad,,,,,21397.0,11321.1640212,753464171.0,35213.5425994,12939.0
2919,15225 Victory Boulevard, 15225 Victory Boulevard, Van Nuys, CA,91411,2295, Air Conditioning; Cable TV Ready; Cats Allowed; Ceiling Fan; Dishwasher; Dryer; Flooring: Wood; Garbage Disposal; Large Dogs Allowed; Laundry: In Unit; Laundry: Shared; Microwave Oven; Off Street Parking; Pictures may not be of exact apartment home; Quartz Counters with Custom Backsplash; Range; Recessed Lighting; Refrigerator; Security: Gated Entry; Small Dogs Allowed; Stainless Steel Appliances; Swimming Pool; Washer,Low, 818-488-2691, https://hotpads.com/the-hideaway-van-nuys-ca-91411-smk84a/pad,66, $2295, 844-388-3262, https://www.apartments.com/the-hideaway-van-nuys-ca/6xe7tzr/,24628.0,12072.5490196,336333290.0,13656.540929,9788.0
